date,生产时间_(H),casing_p_shut,casing_p_avg,tubing_p_shut,tubing_p_avg,井口温度,qg_m3d,qw_td,日产油量_(t),日放空气量_(m^3),月产气量_(m^3),月产水量_(t),月产油量_(t),月放空气量_(m^3),年产气量_(10^4m^3),年产水量_(10^4t),年产油量_(10^4t),年放空气量_(10^4m^3),累产气量_(10^8m^3),累产水量_(10^4t),累产油量_(10^4t),累放空气量_(10^8m^3),输压_(MPa),气举注气量_(m^3),t_day,well_id,op_condition,qg_valid
2013-05-10,15.33,38.0,46.0,63.0,62.5,,125059.0,,,,125059.0,,,,12.5059,0.0,0.0,0.0,0.00125059,0.0,0.0,0.0,3.5,,0,SY9,throttled,1
2013-05-11,20.5,47.5,47.1,62.5,62.5,,178097.0,0.9,,,303156.0,0.9,,,30.3156,9e-05,0.0,0.0,0.00303156,9e-05,0.0,0.0,4.1,,1,SY9,open,1
2013-05-12,24.0,,49.1,,62.78,,218732.0,1.9,,,521888.0,2.8,,,52.1888,0.00028,0.0,0.0,0.00521888,0.00028,0.0,0.0,3.8,,2,SY9,open,1
2013-05-13,24.0,,49.73,,62.84,,225409.0,1.7,,,747297.0,4.5,,,74.7297,0.00045,0.0,0.0,0.00747297,0.00045,0.0,0.0,4.1,,3,SY9,open,1
2013-05-14,24.0,,50.17,,62.87,,251936.0,2.1,,0.0,999233.0,6.6,,0.0,99.9233,0.00066,0.0,0.0,0.00999233,0.00066,0.0,0.0,4.5,,4,SY9,open,1
2013-05-15,24.0,,50.26,,62.88,,266733.0,2.1,,,1265966.0,8.7,,0.0,126.5966,0.00087,0.0,0.0,0.01265966,0.00087,0.0,0.0,4.4,,5,SY9,open,1
2013-05-16,24.0,,50.21,,62.87,,291013.0,2.1,,,1556979.0,10.8,,0.0,155.6979,0.00108,0.0,0.0,0.01556979,0.00108,0.0,0.0,4.5,,6,SY9,open,1
2013-05-17,24.0,,50.2,,62.87,,303805.0,2.6,,,1860784.0,13.4,,0.0,186.0784,0.00134,0.0,0.0,0.01860784,0.00134,0.0,0.0,4.5,,7,SY9,open,1
2013-05-18,24.0,,49.66,,62.86,,319562.0,2.6,,,2180346.0,16.0,,0.0,218.0346,0.0016,0.0,0.0,0.02180346,0.0016,0.0,0.0,4.5,,8,SY9,open,1
2013-05-19,24.0,,48.27,,62.89,,295771.0,1.9,,,2476117.0,17.9,,0.0,247.6117,0.00179,0.0,0.0,0.02476117,0.00179,0.0,0.0,4.5,,9,SY9,open,1
2013-05-20,24.0,,47.54,,62.87,,301755.0,2.2,,,2777872.0,20.1,,0.0,277.7872,0.00201,0.0,0.0,0.02777872,0.00201,0.0,0.0,4.7,,10,SY9,open,1
2013-05-21,24.0,,45.65,,62.82,,262253.0,2.2,,,3040125.0,22.3,,0.0,304.0125,0.00223,0.0,0.0,0.03040125,0.00223,0.0,0.0,4.5,,11,SY9,open,1
2013-05-22,24.0,,45.81,,62.87,,294242.0,2.3,,,3334367.0,24.6,,0.0,333.4367,0.00246,0.0,0.0,0.03334367,0.00246,0.0,0.0,4.8,,12,SY9,open,1
2013-05-23,24.0,,45.55,,62.86,,295265.0,1.9,,,3629632.0,26.5,,0.0,362.9632,0.00265,0.0,0.0,0.03629632,0.00265,0.0,0.0,4.8,,13,SY9,open,1
2013-05-24,24.0,,45.07,,62.86,,288252.0,2.8,,,3917884.0,29.3,,0.0,391.7884,0.00293,0.0,0.0,0.03917884,0.00293,0.0,0.0,4.7,,14,SY9,open,1
2013-05-25,24.0,,44.87,,62.85,,294060.0,2.1,,,4211944.0,31.4,,0.0,421.1944,0.00314,0.0,0.0,0.04211944,0.00314,0.0,0.0,4.5,,15,SY9,open,1
2013-05-26,24.0,,44.81,,62.83,,303320.0,2.5,,,4515264.0,33.9,,0.0,451.5264,0.00339,0.0,0.0,0.04515264,0.00339,0.0,0.0,4.5,,16,SY9,open,1
2013-05-27,24.0,,44.67,,62.81,,308572.0,2.5,,,4823836.0,36.4,,0.0,482.3836,0.00364,0.0,0.0,0.04823836,0.00364,0.0,0.0,4.5,,17,SY9,open,1
2013-05-28,24.0,,43.75,,62.84,,272009.0,1.8,,,5095845.0,38.2,,0.0,509.5845,0.00382,0.0,0.0,0.05095845,0.00382,0.0,0.0,4.5,,18,SY9,open,1
2013-05-29,24.0,,43.64,,62.79,,304073.0,2.4,,,5399918.0,40.6,,0.0,539.9918,0.00406,0.0,0.0,0.05399918,0.00406,0.0,0.0,4.8,,19,SY9,open,1
2013-05-30,24.0,,43.76,,62.79,,306760.0,2.5,,,5706678.0,43.1,,0.0,570.6678,0.00431,0.0,0.0,0.05706678,0.00431,0.0,0.0,4.9,,20,SY9,open,1
2013-05-31,24.0,,43.46,,62.78,,305514.0,2.7,,,6012192.0,45.8,,0.0,601.2192,0.00458,0.0,0.0,0.06012192,0.00458,0.0,0.0,4.8,,21,SY9,open,1
2013-06-01,24.0,,43.1,,62.79,,300903.0,2.2,,,300903.0,2.2,,,631.3095,0.0048,0.0,0.0,0.06313095,0.0048,0.0,0.0,4.8,,22,SY9,open,1
