采出方式,生产日期,生产时间_(H),套压(MPa)_关井,套压(MPa)_平均,油压(MPa)_关井,油压(MPa)_平均,井口温度,日产气量_(m^3),日产水量_(t),日产油量_(t),日放空气量_(m^3),月产气量_(m^3),月产水量_(t),月产油量_(t),月放空气量_(m^3),年产气量_(10^4m^3),年产水量_(10^4t),年产油量_(10^4t),年放空气量_(10^4m^3),累产气量_(10^8m^3),累产水量_(10^4t),累产油量_(10^4t),累放空气量_(10^8m^3),输压_(MPa),气举注气量_(m^3),备注
自喷,2013/5/10,15.33,38,46,63,62.5,,125059,,,,125059,,,,12.5059,0,0,0,0.00125059,0,0,0,3.5,,"10日15:30开井，开井套压38.5MPa，油压62.5MPa,针阀10/100圈。16:50~17:40整改排污法兰盘关井，套压41.0MPa↑42.5MPa，油压62.5MPa不变，18:30针"
自喷,2013/5/11,20.5,47.5,47.1,62.5,62.5,,178097,0.9,,,303156,0.9,,,30.3156,9.00E-05,0,0,0.00303156,9.00E-05,0,0,4.1,,"11日22:00撬装针阀泄漏关井，关井套压47.5MPa，油压62.5MPa,1:30开井，套压43.5MPa，油压62.5MPa。"
自喷,2013/5/12,24,,49.1,,62.78,,218732,1.9,,,521888,2.8,,,52.1888,0.00028,0,0,0.00521888,0.00028,0,0,3.8,,
自喷,2013/5/13,24,,49.73,,62.84,,225409,1.7,,,747297,4.5,,,74.7297,0.00045,0,0,0.00747297,0.00045,0,0,4.1,,
自喷,2013/5/14,24,,50.17,,62.87,,251936,2.1,,0,999233,6.6,,0,99.9233,0.00066,0,0,0.00999233,0.00066,0,0,4.5,,14日14:30针阀由15/100圈调至17/100圈，16:00加缓蚀剂10千克
自喷,2013/5/15,24,,50.26,,62.88,,266733,2.1,,,1265966,8.7,,0,126.5966,0.00087,0,0,0.01265966,0.00087,0,0,4.4,,
自喷,2013/5/16,24,,50.21,,62.87,,291013,2.1,,,1556979,10.8,,0,155.6979,0.00108,0,0,0.01556979,0.00108,0,0,4.5,,16日16:50针阀由17/100圈调至20/100圈
自喷,2013/5/17,24,,50.2,,62.87,,303805,2.6,,,1860784,13.4,,0,186.0784,0.00134,0,0,0.01860784,0.00134,0,0,4.5,,
自喷,2013/5/18,24,,49.66,,62.86,,319562,2.6,,,2180346,16,,0,218.0346,0.0016,0,0,0.02180346,0.0016,0,0,4.5,,
自喷,2013/5/19,24,,48.27,,62.89,,295771,1.9,,,2476117,17.9,,0,247.6117,0.00179,0,0,0.02476117,0.00179,0,0,4.5,,19日9:00针阀由20/100圈调至18/100圈
自喷,2013/5/20,24,,47.54,,62.87,,301755,2.2,,,2777872,20.1,,0,277.7872,0.00201,0,0,0.02777872,0.00201,0,0,4.7,,
自喷,2013/5/21,24,,45.65,,62.82,,262253,2.2,,,3040125,22.3,,0,304.0125,0.00223,0,0,0.03040125,0.00223,0,0,4.5,,
自喷,2013/5/22,24,,45.81,,62.87,,294242,2.3,,,3334367,24.6,,0,333.4367,0.00246,0,0,0.03334367,0.00246,0,0,4.8,,
自喷,2013/5/23,24,,45.55,,62.86,,295265,1.9,,,3629632,26.5,,0,362.9632,0.00265,0,0,0.03629632,0.00265,0,0,4.8,,
自喷,2013/5/24,24,,45.07,,62.86,,288252,2.8,,,3917884,29.3,,0,391.7884,0.00293,0,0,0.03917884,0.00293,0,0,4.7,,
自喷,2013/5/25,24,,44.87,,62.85,,294060,2.1,,,4211944,31.4,,0,421.1944,0.00314,0,0,0.04211944,0.00314,0,0,4.5,,
自喷,2013/5/26,24,,44.81,,62.83,,303320,2.5,,,4515264,33.9,,0,451.5264,0.00339,0,0,0.04515264,0.00339,0,0,4.5,,
自喷,2013/5/27,24,,44.67,,62.81,,308572,2.5,,,4823836,36.4,,0,482.3836,0.00364,0,0,0.04823836,0.00364,0,0,4.5,,
自喷,2013/5/28,24,,43.75,,62.84,,272009,1.8,,,5095845,38.2,,0,509.5845,0.00382,0,0,0.05095845,0.00382,0,0,4.5,,28日23:00针阀由18/100圈调至11/100圈
自喷,2013/5/29,24,,43.64,,62.79,,304073,2.4,,,5399918,40.6,,0,539.9918,0.00406,0,0,0.05399918,0.00406,0,0,4.8,,29日8:50针阀由11/100圈调至18/100圈
自喷,2013/5/30,24,,43.76,,62.79,,306760,2.5,,,5706678,43.1,,0,570.6678,0.00431,0,0,0.05706678,0.00431,0,0,4.9,,"本月11日～31日水样半分析氯根含量：6835mg/L～1708mg/L，PH值：6。天然气中硫化氢含量7.10g/m3 ～8.35g/m3,水中硫化氢含量456.31mg/L~492.92mg/L"
自喷,2013/5/31,24,,43.46,,62.78,,305514,2.7,,,6012192,45.8,,0,601.2192,0.00458,0,0,0.06012192,0.00458,0,0,4.8,,
