Depth,TVD,DX,DY,GR,CAL,RT,RXO,SH,POR,SW,PERM,ACN,DENN,CNLN
4500,4496.292,106.678,-45.946,22.946,8.686,99990,25962.844,0.781,1.105,4.174,0.005,49.036,2.66,0.548
4500.125,4496.417,106.682,-45.948,22.647,8.741,99990,25879.762,0.838,0.949,4.836,0.003,48.483,2.653,0.644
4500.25,4496.542,106.686,-45.95,23.072,8.771,99990,25132.367,1.075,0.862,5.35,0.002,47.987,2.649,0.834
4500.375,4496.667,106.69,-45.952,24.276,8.77,97387.383,22161.334,1.304,0.833,5.676,0.002,47.883,2.647,0.998
4500.5,4496.792,106.694,-45.954,25.19,8.741,81095.469,17787.65,1.374,1.015,5.06,0.004,47.879,2.65,1.396
4500.625,4496.917,106.698,-45.956,25.424,8.68,67219.063,15843.374,1.342,1.311,4.454,0.009,47.952,2.668,1.592
4500.75,4497.042,106.702,-45.958,26.118,8.644,34733.141,12596.248,1.212,1.532,5.043,0.015,48.131,2.707,1.574
4500.875,4497.167,106.706,-45.96,27.215,8.591,15804.994,10932.393,1.154,1.575,6.844,0.016,48.302,2.721,1.388
4501,4497.292,106.71,-45.962,27.734,8.576,11685.882,10482.171,1.073,1.554,8.321,0.015,48.584,2.72,1.274
4501.125,4497.417,106.714,-45.964,27.986,8.586,12305.749,10406.475,0.981,1.532,8.381,0.015,48.905,2.682,1.131
4501.25,4497.542,106.718,-45.966,27.281,8.619,15561.51,10669.157,0.932,1.594,6.966,0.017,48.918,2.665,1.066
4501.375,4497.667,106.722,-45.968,26.577,8.634,31583.615,11777.932,0.909,1.645,4.931,0.018,49.05,2.647,1.044
4501.5,4497.792,106.726,-45.97,24.783,8.664,61025.367,13841.629,0.906,1.658,3.675,0.019,49.226,2.636,0.957
4501.625,4497.917,106.731,-45.972,23.927,8.714,74921.289,15539.084,0.898,1.624,3.247,0.017,49.345,2.633,0.865
4501.75,4498.042,106.735,-45.974,22.08,8.758,94523.305,24017.41,0.87,1.509,3.191,0.014,49.24,2.632,0.829
4501.875,4498.167,106.739,-45.976,20.642,8.822,99550.563,43036.793,0.875,1.279,3.643,0.008,49.24,2.637,0.788
4502,4498.292,106.743,-45.978,20.367,8.799,99990,57164.375,1.033,0.945,5.236,0.004,48.822,2.655,0.672
4502.125,4498.417,106.747,-45.98,21.889,8.753,99990,81552.148,1.507,0.506,10.003,0.001,48.375,2.674,0.586
4502.25,4498.542,106.751,-45.982,25.263,8.644,99990,96483.414,1.818,0.259,18.813,0,47.878,2.683,0.418
4502.375,4498.667,106.755,-45.984,26.648,8.584,99990,98792.648,2.215,0.165,27.74,0,47.731,2.694,0.354
4502.5,4498.792,106.759,-45.986,27.997,8.57,99990,96871.492,2.255,0.177,26.885,0,47.743,2.694,0.335
4502.625,4498.917,106.763,-45.988,27.308,8.564,99990,84996.703,2.145,0.27,17.501,0,47.743,2.689,0.235
4502.75,4499.042,106.767,-45.99,26.625,8.566,99990,74355.516,1.884,0.395,11.941,0,47.88,2.674,0.14
4502.875,4499.167,106.771,-45.992,25.627,8.568,99465.68,51645.027,1.718,0.551,8.469,0,47.999,2.664,-0.008
4503,4499.292,106.775,-45.994,25.299,8.579,96676.039,39637.961,1.659,0.682,6.971,0.001,48.35,2.664,-0.02
4503.125,4499.417,106.779,-45.996,25.485,8.589,78587.313,22287.582,1.621,0.809,6.638,0.002,48.505,2.666,0.024
4503.25,4499.542,106.783,-45.998,26.785,8.608,43864.406,9402.207,1.663,1.024,6.554,0.004,48.511,2.66,0.179
4503.375,4499.667,106.787,-46,27.996,8.615,28092.127,5760.528,1.999,1.199,7.68,0.006,48.974,2.653,0.377
4503.5,4499.792,106.791,-46.002,31.12,8.617,7799.809,2306.367,2.447,1.25,11.53,0.007,49.648,2.648,0.492
4503.625,4499.917,106.795,-46.004,32.268,8.621,4479.664,1976.563,2.502,1.234,15.931,0.007,49.887,2.652,0.664
4503.75,4500.042,106.799,-46.006,31.405,8.612,5887.809,2191.999,2.326,1.198,14.889,0.006,49.778,2.669,0.778
4503.875,4500.167,106.803,-46.007,27.468,8.6,14025.685,3324.742,2.066,1.174,10.551,0.006,49.601,2.678,0.812
4504,4500.292,106.807,-46.009,22.895,8.577,24370.217,4941.149,1.899,1.203,8.088,0.007,49.594,2.675,0.847
4504.125,4500.417,106.811,-46.011,21.52,8.575,26623.863,5481.192,1.646,1.311,6.873,0.008,49.367,2.666,0.838
4504.25,4500.542,106.815,-46.013,20.594,8.581,25234.559,5928.771,1.624,1.319,6.912,0.009,49.438,2.663,0.788
4504.375,4500.667,106.819,-46.015,21.051,8.601,23918.066,6056.935,1.64,1.273,7.221,0.008,49.412,2.664,0.72
4504.5,4500.792,106.823,-46.017,21.363,8.625,27324.043,6296.117,1.644,1.205,6.995,0.006,49.428,2.672,0.681
4504.625,4500.917,106.827,-46.019,21.687,8.631,45151.445,7391.278,1.555,1.098,6.314,0.005,49.428,2.688,0.643
