Depth,TVD,DX,DY,RT,RXO,SH,POR,SW,PERM,ACN,DENN,CNLN,GRN
4550,4544.268,116.827,-37.338,98217.367,6776.305,0.01,1.37,42.725,0.065,48.579,2.672,0.82,22.675
4550.125,4544.389,116.844,-37.309,99931.719,6985.285,0.01,1.164,49.336,0.053,48.579,2.688,0.869,21.873
4550.25,4544.509,116.861,-37.281,99862.266,7147.006,0.01,1.043,54.335,0.046,48.918,2.698,0.906,21.684
4550.375,4544.629,116.878,-37.252,97487.172,7484.379,0.01,0.819,67.239,0.034,49.007,2.718,0.994,22.09
4550.5,4544.75,116.895,-37.223,90280.102,7532.77,0.01,0.71,76.229,0.029,49.083,2.728,1.042,23.961
4550.625,4544.87,116.912,-37.194,86288.352,7383.88,0.075,0.782,70.024,0.033,48.852,2.728,1.029,25.204
4550.75,4544.991,116.93,-37.165,83775.406,6880.729,0.736,0.442,99.99,0.016,48.852,2.72,0.929,26.968
4550.875,4545.111,116.947,-37.136,90197.148,6464.014,0.598,0.766,71.291,0.032,48.679,2.707,0.809,26.602
4551,4545.231,116.964,-37.107,94335.609,6383.704,0.305,0.918,60.796,0.04,48.483,2.701,0.776,25.82
4551.125,4545.352,116.981,-37.078,99230.539,6476.514,0.01,0.953,58.818,0.041,48.382,2.695,0.797,24.257
4551.25,4545.472,116.999,-37.049,99990,6767.928,0.01,1.114,51.255,0.05,48.122,2.694,0.916,23.903
4551.375,4545.592,117.016,-37.02,99990,6943.589,0.01,1.21,47.667,0.056,48.197,2.694,0.995,24.462
4551.5,4545.713,117.033,-36.991,99990,7255.642,0.52,1.459,40.435,0.07,48.197,2.691,1.153,26.397
4551.625,4545.833,117.051,-36.962,99990,7339.697,0.808,1.493,39.614,0.072,48.163,2.688,1.223,27.159
4551.75,4545.954,117.068,-36.933,99990,7303.736,0.86,1.938,31.483,0.099,48.353,2.684,1.355,27.296
4551.875,4546.074,117.086,-36.904,99990,7053.916,0.448,2.217,27.965,0.117,48.631,2.687,1.505,26.203
4552,4546.194,117.103,-36.875,99990,6892.705,0.294,2.264,27.453,0.12,48.747,2.691,1.579,25.791
4552.125,4546.314,117.121,-36.846,99990,6564.419,0.318,2.185,28.32,0.115,49.012,2.702,1.682,25.855
4552.25,4546.435,117.138,-36.817,99990,6301.25,0.76,1.931,31.575,0.098,49.012,2.711,1.713,27.033
4552.375,4546.555,117.156,-36.787,99990,6210.816,1.085,1.547,38.391,0.075,48.992,2.713,1.714,27.887
4552.5,4546.675,117.173,-36.758,99990,6151.75,1.545,1.364,42.907,0.064,49.14,2.713,1.702,29.086
4552.625,4546.795,117.191,-36.729,99990,6144.019,1.168,1.806,33.503,0.091,49.059,2.707,1.681,28.105
4552.75,4546.916,117.209,-36.699,99990,6132.713,0.644,2.037,30.124,0.105,49.069,2.705,1.678,26.725
4552.875,4547.036,117.226,-36.67,99990,6050.584,0.01,1.861,32.62,0.094,49.069,2.702,1.679,23.526
4553,4547.156,117.244,-36.641,99990,5894.512,0.01,1.727,34.837,0.086,48.809,2.704,1.597,22.159
4553.125,4547.276,117.262,-36.611,99990,5821.084,0.01,1.559,38.136,0.076,48.824,2.707,1.498,22.751
4553.25,4547.396,117.28,-36.582,99990,5791.916,0.353,1.282,45.306,0.06,48.747,2.712,1.266,25.949
4553.375,4547.517,117.297,-36.552,99990,5842.303,1.029,0.958,58.569,0.042,48.713,2.713,1.193,27.741
4553.5,4547.637,117.315,-36.523,99990,5982.995,1.693,0.738,73.735,0.03,48.86,2.713,1.215,29.468
4553.625,4547.757,117.333,-36.493,99990,6021.271,1.233,1.089,52.296,0.049,48.86,2.712,1.355,28.276
4553.75,4547.877,117.351,-36.464,99990,6023.017,0.832,1.234,46.864,0.057,49.05,2.715,1.397,27.222
4553.875,4547.997,117.369,-36.434,99990,6163.017,0.145,1.453,40.578,0.069,49.491,2.709,1.355,25.391
4554,4548.117,117.387,-36.404,99990,6588.317,0.01,1.278,45.416,0.059,49.725,2.704,1.202,24.055
4554.125,4548.237,117.405,-36.375,99990,6829.193,0.01,1.253,46.233,0.058,49.723,2.7,1.119,23.457
4554.25,4548.357,117.423,-36.345,98846.859,7118.889,0.01,1.255,46.17,0.058,49.723,2.689,0.959,22.655
4554.375,4548.478,117.441,-36.315,89119.578,7091.075,0.01,1.309,44.47,0.061,49.352,2.675,0.806,22.55
4554.5,4548.597,117.459,-36.286,78849.313,7019.738,0.01,1.357,43.083,0.064,49.139,2.668,0.748,22.552
4554.625,4548.717,117.477,-36.256,52347.766,6900.265,0.01,1.5,39.458,0.072,49.036,2.657,0.714,22.512
4554.75,4548.837,117.495,-36.226,40645.859,6869.949,0.01,1.541,38.534,0.075,48.885,2.656,0.735,22.712
4554.875,4548.958,117.513,-36.196,27709.051,6835.595,0.01,1.56,38.109,0.076,48.889,2.659,0.795,23.798
4555,4549.078,117.532,-36.167,23075.961,6614.587,0.01,1.439,40.912,0.069,48.889,2.67,0.853,24.727
4555.125,4549.198,117.55,-36.137,20047.705,6282.183,0.01,1.411,41.639,0.067,48.853,2.675,0.906,24.66
4555.25,4549.317,117.568,-36.107,11706.912,5131.106,0.01,1.397,42.008,0.066,49.123,2.684,1.047,23.795
4555.375,4549.438,117.586,-36.077,4891.996,4647.396,0.01,1.296,44.883,0.06,49.077,2.692,1.088,23.74
4555.5,4549.558,117.605,-36.047,3094.815,2940.074,0.01,1.094,52.098,0.049,49.303,2.697,1.056,24.293
4555.625,4549.677,117.623,-36.017,1697.729,1612.842,0.302,1.044,54.31,0.046,49.303,2.706,1.071,25.813
4555.75,4549.797,117.641,-35.987,1172.781,1114.142,0.519,1.35,43.292,0.064,49.441,2.705,1.399,26.393
4555.875,4549.917,117.66,-35.957,970.77,922.231,0.416,1.681,35.691,0.083,50.064,2.697,1.644,26.118
4556,4550.037,117.678,-35.927,611.972,581.374,0.208,2.334,26.722,0.124,50.732,2.671,2.081,25.56
4556.125,4550.157,117.697,-35.897,347.06,329.707,0.599,2.864,22.318,0.159,51.654,2.647,2.387,26.605
4556.25,4550.277,117.715,-35.867,267.739,254.352,1.086,3.034,21.208,0.171,53.039,2.64,2.551,27.89
4556.375,4550.397,117.734,-35.836,182.721,173.585,2.285,3.388,19.246,0.196,53.039,2.637,2.963,30.978
4556.5,4550.517,117.752,-35.806,154.409,146.689,2.735,3.406,19.152,0.197,54.923,2.64,3.187,32.11
4556.625,4550.637,117.771,-35.776,107.12,101.764,3.068,3.268,19.865,0.187,56.663,2.649,3.638,32.938
4556.75,4550.756,117.789,-35.746,77.828,73.937,2.899,3.109,20.755,0.176,57.881,2.657,4.065,32.52
4556.875,4550.876,117.808,-35.715,70.357,66.839,2.805,3.199,20.242,0.183,58.656,2.66,4.189,32.286
4557,4550.996,117.827,-35.685,62.84,59.698,2.934,3.047,21.13,0.172,58.656,2.664,4.098,32.606
4557.125,4551.116,117.845,-35.655,58.776,55.837,3.658,2.475,28.678,0.133,59.124,2.672,3.734,34.389
