Depth,GR,KTH,CAL,AC,CNL,DEN,RT,RXO,SH,POR,SW,PERM
4550,24.635,14.318,8.655,48.452,0.619,2.73,22053.457,11419.329,0.01,0.775,70.606,0.032
4550.125,24.964,12.663,8.674,48.502,0.657,2.732,22958.488,11742.772,0.01,0.831,66.382,0.035
4550.25,24.737,11.198,8.689,48.62,0.777,2.729,24030.568,12058.117,0.01,0.968,58.014,0.042
4550.375,24.6,10.683,8.694,48.803,0.818,2.725,24723.092,12197.391,0.01,1.073,52.997,0.048
4550.5,24.513,10.492,8.708,48.803,0.78,2.713,25616.594,12197.155,0.01,1.021,55.365,0.045
4550.625,25.232,11.669,8.733,49.019,0.672,2.702,24667.029,11634.074,0.01,1.011,55.835,0.045
4550.75,25.855,12.465,8.753,49.205,0.651,2.697,23641.621,11264.999,0.01,1.104,51.679,0.05
4550.875,27.097,13.649,8.808,49.282,0.669,2.689,21811.598,10833.866,0.01,1.308,44.501,0.061
4551,27.487,13.897,8.832,49.21,0.674,2.685,21310.008,10843.626,0.01,1.372,42.666,0.065
4551.125,27.718,13.891,8.839,49.03,0.634,2.68,20536.414,10959.186,0.01,1.416,41.506,0.067
4551.25,27.648,13.427,8.792,49.03,0.608,2.68,18480.596,10375.621,0.01,1.407,41.727,0.067
4551.375,27.596,13.027,8.763,48.841,0.632,2.682,16681.313,9657.758,0.01,1.331,43.827,0.062
4551.5,27.212,12.116,8.725,48.729,0.706,2.69,12385.627,7712.5,0.01,1.171,49.08,0.053
4551.625,26.729,11.335,8.712,48.712,0.694,2.702,9067.655,6011.097,0.01,0.925,60.391,0.04
4551.75,26.691,11.031,8.708,48.755,0.656,2.707,8138.505,5494.572,0.01,0.824,66.864,0.035
4551.875,27.174,10.413,8.702,48.755,0.594,2.714,7521.518,5200.804,0.01,0.786,69.721,0.033
4552,28.113,10.039,8.695,48.821,0.621,2.717,8325.215,5739.667,0.01,0.852,64.938,0.036
4552.125,28.525,9.971,8.694,48.884,0.657,2.716,9089.663,6173.03,0.01,0.912,61.139,0.039
4552.25,28.949,9.934,8.71,48.921,0.722,2.711,10160.291,6749.006,0.01,0.976,57.599,0.043
4552.375,29.274,10.086,8.739,48.914,0.753,2.703,9255.621,6287.419,0.01,0.973,57.751,0.043
4552.5,29.589,10.377,8.746,48.887,0.762,2.702,8168.831,5714.914,0.01,0.989,56.96,0.043
4552.625,30.346,11.186,8.738,48.887,0.815,2.69,6045.739,4534.725,0.01,1.244,46.528,0.057
4552.75,30.36,11.415,8.735,48.912,0.866,2.687,5419.765,4155.35,0.01,1.326,43.98,0.062
4552.875,28.896,11.07,8.756,49.025,0.984,2.684,5141.79,3950.677,0.01,1.451,40.628,0.069
4553,25.926,10.173,8.788,49.156,1.037,2.683,5521.433,4146.931,0.01,1.519,39.019,0.073
4553.125,24.668,9.886,8.796,49.185,1.012,2.683,5666.538,4226,0.01,1.517,39.051,0.073
