Depth,TVD,DX,DY,GR,KTH,CAL,AC,DEN,RT,RXO,SH,POR,SW,PERM
4500,4499.921,-3.907,-19.188,36.377,25.541,8.6,47.175,2.804,410.95,387.458,15.211,-9999,99.9,0
4500.125,4500.046,-3.908,-19.189,34.01,24.553,8.597,47.317,2.804,403.655,388.393,14.133,-9999,99.9,0
4500.25,4500.171,-3.908,-19.19,34.934,25.778,8.593,47.603,2.8,349.842,344.576,15.473,-9999,99.9,0
4500.375,4500.296,-3.909,-19.191,39.074,29.585,8.592,47.852,2.795,281.11,281.728,19.884,-9999,99.9,0
4500.5,4500.421,-3.909,-19.192,42.724,33,8.592,47.733,2.791,235.681,236.058,24.178,-9999,99.9,0
4500.625,4500.546,-3.909,-19.193,42.63,32.897,8.594,47.222,2.79,224.775,219.878,24.044,-9999,99.9,0
4500.75,4500.671,-3.91,-19.194,38.414,28.751,8.594,46.503,2.792,259.04,242.551,18.884,-9999,99.9,0
4500.875,4500.796,-3.91,-19.195,33.655,24.136,8.591,46.291,2.795,343.889,311.791,13.685,-9999,99.9,0
4501,4500.921,-3.91,-19.196,31.536,21.755,8.589,46.391,2.795,447.561,404.865,11.209,-9999,99.9,0
4501.125,4501.046,-3.911,-19.197,33.28,21.328,8.59,46.616,2.794,501.825,462.377,10.778,-9999,99.9,0
4501.25,4501.171,-3.911,-19.198,36.316,20.951,8.591,46.795,2.793,478.862,450.309,10.402,-9999,99.9,0
4501.375,4501.296,-3.911,-19.199,38.183,20.3,8.59,46.834,2.796,417.817,397.961,9.76,-9999,99.9,0
4501.5,4501.421,-3.912,-19.2,37.155,19.527,8.587,46.779,2.802,387.397,368.448,9.009,-9999,99.9,0
4501.625,4501.546,-3.912,-19.201,34.501,18.603,8.584,46.624,2.806,414.965,392.886,8.129,-9999,99.9,0
4501.75,4501.671,-3.912,-19.202,31.819,17.955,8.585,46.468,2.803,499.914,476.373,7.523,-9999,99.9,0
4501.875,4501.796,-3.913,-19.203,30.629,17.945,8.585,46.443,2.795,605.721,592.996,7.514,-9999,99.9,0
4502,4501.921,-3.913,-19.203,31.323,19.185,8.585,46.638,2.79,662.18,671.715,8.682,-9999,99.9,0
4502.125,4502.046,-3.913,-19.204,33.832,22.682,8.584,47.052,2.789,626.475,658.252,12.157,-9999,99.9,0
4502.25,4502.171,-3.914,-19.205,37.045,27.287,8.583,47.491,2.79,518.062,558.548,17.176,-9999,99.9,0
4502.375,4502.296,-3.914,-19.206,39.619,30.69,8.585,47.873,2.791,394.77,432.014,21.237,-9999,99.9,0
