Depth,TVD,DX,DY,GR,KTH,CAL,AC,CNL,DEN,RT,RXO,SH,POR,PERM,sw
4500,4499.89,6.477,-20.385,206.249,143.55,8.75,66.69,37.809,2.776,41.613,27.9,99.982,0.1,0,100
4500.125,4500.015,6.476,-20.381,206.931,144.539,8.74,67.482,36.312,2.765,40.386,27.647,99.982,0.1,0,100
4500.25,4500.14,6.475,-20.378,208.861,148.87,8.736,67.859,33.921,2.755,39.69,27.948,99.982,0.1,0,100
4500.375,4500.265,6.474,-20.374,209.525,154.231,8.733,68.085,30.765,2.753,39.745,28.726,99.982,0.1,0,100
4500.5,4500.39,6.472,-20.37,207.691,158.523,8.732,68.282,25.841,2.76,40.254,29.571,99.982,0.1,0,100
4500.625,4500.515,6.471,-20.367,202.654,164.222,8.73,68.277,14.123,2.77,40.816,30.741,99.982,0.1,0,100
4500.75,4500.64,6.47,-20.363,200.519,165.769,8.728,68.195,10.052,2.772,40.247,30.689,99.982,0.1,0,100
4500.875,4500.765,6.468,-20.359,196.468,164.345,8.72,68.127,7.558,2.764,36.359,28.313,99.982,0.1,0,100
4501,4500.89,6.467,-20.356,190.926,159.188,8.71,67.851,7.185,2.753,31.207,24.778,99.982,0.1,0,100
4501.125,4501.015,6.466,-20.352,177.661,142.981,8.696,67.394,7.671,2.743,24.051,19.455,99.982,0.1,0,100
4501.25,4501.14,6.465,-20.348,150.782,112.603,8.68,67.066,8.279,2.735,15.225,12.577,88.234,0.1,0,100
4501.375,4501.265,6.463,-20.345,128.1,91.806,8.676,66.13,8.485,2.733,11.89,9.777,60.426,0.1,0,100
4501.5,4501.39,6.462,-20.341,87.54,61.307,8.681,65.927,8.733,2.702,10.586,8.289,30.727,0.1,0,100
4501.625,4501.515,6.461,-20.337,72.161,50.203,8.68,64.868,8.84,2.66,13.359,9.915,22.432,0.1,0,100
4501.75,4501.64,6.46,-20.334,64.308,44.556,8.674,64.267,8.887,2.61,21.123,15.187,18.634,0.1,0,100
4501.875,4501.765,6.458,-20.33,67.953,46.371,8.666,63.748,8.818,2.549,49.173,37.105,19.826,0.1,0,100
4502,4501.89,6.457,-20.327,76.744,51.391,8.666,62.945,8.74,2.528,75.599,59.507,23.265,0.1,0,100
4502.125,4502.015,6.456,-20.323,86.022,56.481,8.671,62.773,8.716,2.539,95.28,78.374,26.98,0.1,0,100
4502.25,4502.14,6.455,-20.319,93.713,60.619,8.673,61.814,8.722,2.569,106.441,91.013,30.179,0.1,0,100
4502.375,4502.265,6.453,-20.316,94.89,61.222,8.668,61.37,8.669,2.585,104.292,89.992,30.659,0.1,0,100
4502.5,4502.39,6.452,-20.312,93.994,60.397,8.66,60.169,8.384,2.601,99.969,85.278,30.003,0.1,0,100
4502.625,4502.515,6.451,-20.308,91.824,58.698,8.657,59.781,8.121,2.616,101.482,85.273,28.673,0.1,0,100
4502.75,4502.64,6.45,-20.305,84.222,53.075,8.656,57.677,7.489,2.662,108.181,88.9,24.468,0.1,0,100
4502.875,4502.765,6.448,-20.301,72.716,45.502,8.655,56.739,6.695,2.723,118.898,95.286,19.252,0.1,0,100
4503,4502.89,6.447,-20.298,62.291,39.974,8.656,54.645,6.148,2.765,134.828,104.858,15.744,0.1,0,100
4503.125,4503.015,6.446,-20.294,45.666,32.198,8.655,52.485,5.579,2.804,209.383,152.681,11.202,0.078,0,100
4503.25,4503.14,6.445,-20.291,38.766,27.896,8.655,51.457,5.397,2.813,281.707,200.264,8.872,0.083,0,100
4503.375,4503.265,6.443,-20.287,33.149,23.449,8.654,49.088,5.227,2.82,394.105,266.839,6.592,0.305,0,100
4503.5,4503.39,6.442,-20.283,25.699,16.608,8.656,48.64,4.852,2.834,1055.566,554.372,3.323,0.926,0.003,66.488
4503.625,4503.515,6.441,-20.28,23.34,14.39,8.657,46.982,4.573,2.834,1973.803,917.33,2.321,1.172,0.006,35.335
4503.75,4503.64,6.44,-20.276,21.579,12.322,8.662,46.24,4.124,2.827,3652.395,1578.853,1.412,1.24,0.007,25.629
4503.875,4503.765,6.438,-20.273,20.531,10.859,8.667,45.789,3.732,2.817,5154.208,2182.4,0.783,1.012,0.004,27.215
4504,4503.89,6.437,-20.269,19.935,10.204,8.672,45.341,3.599,2.813,5653.087,2406.394,0.505,1.188,0.006,22.411
4504.125,4504.015,6.436,-20.266,17.915,8.734,8.679,45.316,3.672,2.809,5301.085,2337.534,0.01,1.611,0.017,17.024
4504.25,4504.14,6.435,-20.262,16.808,8.029,8.681,45.239,3.779,2.805,4893.866,2203.664,0.01,1.759,0.023,16.429
4504.375,4504.265,6.434,-20.259,16.373,7.711,8.69,45.238,3.964,2.792,4393.793,2023.404,0.01,1.9,0.029,15.9
4504.5,4504.39,6.432,-20.255,17.058,8.041,8.699,45.267,4.06,2.783,4092.227,1913.753,0.01,1.947,0.032,16.102
4504.625,4504.515,6.431,-20.252,18.471,9.055,8.701,45.29,4.016,2.784,3798.003,1814,0.023,1.767,0.023,18.518
4504.75,4504.64,6.43,-20.248,20.109,10.587,8.69,45.293,3.884,2.794,3451.924,1698.108,0.667,1.303,0.008,26.082
4504.875,4504.765,6.429,-20.244,20.608,11.323,8.674,45.297,3.853,2.803,3393.106,1678.697,0.981,1.037,0.004,33.094
4505,4504.89,6.428,-20.241,20.713,11.797,8.658,45.297,3.879,2.811,3509.825,1719.679,1.185,0.945,0.003,34.851
4505.125,4505.015,6.426,-20.237,20.198,12.406,8.64,45.328,3.868,2.818,4300.126,1967.91,1.449,0.784,0.002,38.73
4505.25,4505.14,6.425,-20.234,19.898,12.746,8.635,45.375,3.782,2.82,4934.86,2166.07,1.597,0.628,0.001,44.285
4505.375,4505.265,6.424,-20.23,20.095,13.573,8.639,45.484,3.684,2.815,5347.748,2338.279,1.959,0.369,0,73.482
4505.5,4505.39,6.423,-20.227,21.298,14.933,8.644,45.773,3.696,2.807,4889.498,2236.202,2.564,0.001,0,100
4505.625,4505.515,6.422,-20.223,25.35,18.471,8.648,45.863,3.829,2.798,3520.774,1774.053,4.185,0.001,0,100
4505.75,4505.64,6.42,-20.22,33.518,24.603,8.651,46.133,4.092,2.791,1651.74,1032.159,7.172,0.001,0,100
4505.875,4505.765,6.419,-20.217,39.254,27.801,8.652,46.461,4.329,2.793,921.286,662.444,8.822,0.082,0,100
4506,4505.89,6.418,-20.213,46.093,30.465,8.653,47.044,4.875,2.8,396.741,324.75,10.248,0.081,0,100
4506.125,4506.015,6.417,-20.21,47.223,30.722,8.654,47.163,5.202,2.798,320.921,265.415,10.388,0.08,0,100
4506.25,4506.14,6.416,-20.206,48.325,30.737,8.658,47.761,5.438,2.793,283.721,237.76,10.397,0.08,0,100
4506.375,4506.265,6.414,-20.203,50.608,31.004,8.665,48.001,5.418,2.789,265.749,226.66,10.543,0.079,0,100
4506.5,4506.39,6.413,-20.199,54.009,32.169,8.67,48.511,5.246,2.789,257.305,222.471,11.186,0.078,0,100
4506.625,4506.515,6.412,-20.196,59.231,35.374,8.675,49.074,5.191,2.789,244.069,214.391,13.004,0.1,0,100
4506.75,4506.64,6.411,-20.192,65.229,40.222,8.677,49.38,5.426,2.784,221.824,198.58,15.896,0.1,0,100
4506.875,4506.765,6.41,-20.189,66.508,42.053,8.675,50.156,5.725,2.778,207.235,186.638,17.035,0.1,0,100
4507,4506.89,6.409,-20.185,64.456,43.402,8.67,50.312,6.131,2.765,190.388,171.212,17.891,0.1,0,100
4507.125,4507.015,6.407,-20.182,63.375,43.914,8.667,51.01,6.23,2.758,187.569,168.433,18.219,0.1,0,100
