Depth,TVD,DX,DY,PERM,POR,SW,AC,CAL,CNL,DEN,GR,KTH,PE,RT,RXO,SH
4500,4498.22,57.613,-58.599,0,0.1,100,71.653,9.472,26.826,2.776,176.393,135.844,-9999,6.96,4.096,99.982
4500.125,4498.345,57.618,-58.601,0,0.1,100,70.585,9.553,26.626,2.777,177.729,135.858,-9999,6.693,4.085,99.982
4500.25,4498.47,57.622,-58.603,0,0.1,100,68.608,9.634,26.713,2.779,178.339,135.817,-9999,6.542,4.036,99.982
4500.375,4498.595,57.626,-58.605,0,0.1,100,66.591,9.648,26.957,2.778,174.993,133.679,-9999,6.543,3.999,99.982
4500.5,4498.72,57.631,-58.607,0,0.1,100,64.639,9.587,27.198,2.769,166.23,127.485,-9999,6.691,4.006,99.982
4500.625,4498.845,57.635,-58.609,0,0.1,100,62.204,9.486,27.322,2.758,152.607,115.415,-9999,7.069,4.133,92.514
4500.75,4498.97,57.639,-58.611,0,0.1,100,60.425,9.408,27.083,2.74,136.234,98.638,-9999,7.658,4.379,68.53
4500.875,4499.095,57.644,-58.612,0,0.1,100,57.566,9.378,26.067,2.72,118.766,80.835,-9999,8.295,4.656,48.058
4501,4499.22,57.648,-58.614,0,0.1,100,57.116,9.384,24.071,2.726,104.377,67.202,-9999,8.728,4.816,35.209
4501.125,4499.344,57.652,-58.616,0,0.1,100,56.709,9.366,21.861,2.738,95.018,59.607,-9999,8.91,4.851,28.953
4501.25,4499.469,57.656,-58.618,0,0.1,100,56.331,9.277,20.212,2.749,89.902,55.925,-9999,9.014,4.86,26.129
4501.375,4499.594,57.661,-58.62,0,0.1,100,55.814,9.141,19.489,2.76,84.157,52.03,-9999,9.657,5.098,23.28
4501.5,4499.719,57.665,-58.622,0,0.1,100,55.119,9.018,19.022,2.774,74.417,46.07,-9999,11.693,5.928,19.184
4501.625,4499.844,57.669,-58.624,0,0.1,100,54.178,8.936,17.608,2.785,60.963,37.418,-9999,16.479,8.013,13.758
4501.75,4499.969,57.674,-58.626,0.448,4.273,78.162,54.001,8.891,15.098,2.787,47.347,26.649,-9999,25.69,12.369,7.782
4501.875,4500.094,57.678,-58.628,1.986,6.658,41.512,52.4,8.87,12.685,2.784,36.881,17.408,-9999,39.117,19.161,3.262
4502,4500.219,57.682,-58.63,1.988,6.661,34.857,51.042,8.867,11.196,2.78,31.696,13.592,-9999,54.091,27.279,1.544
4502.125,4500.344,57.687,-58.631,1.293,5.86,35.154,50.071,8.87,10.567,2.777,30.383,13.415,-9999,65.04,33.766,1.466
4502.25,4500.469,57.691,-58.633,0.805,5.09,38.437,48.773,8.875,10.442,2.775,30.672,14.289,-9999,69.436,36.975,1.851
4502.375,4500.593,57.695,-58.635,0.642,4.758,41.123,49.108,8.881,10.706,2.769,30.913,15.16,-9999,67.399,36.533,2.24
4502.5,4500.718,57.7,-58.637,0.768,5.018,40.565,49.649,8.894,11.384,2.765,30.875,15.902,-9999,61.96,33.979,2.574
4502.625,4500.843,57.704,-58.639,1.213,5.749,38.106,50.488,8.909,12.334,2.765,31.118,16.725,-9999,53.946,29.876,2.948
4502.75,4500.968,57.708,-58.641,1.645,6.295,38.372,51.948,8.912,12.917,2.772,33.149,18.69,-9999,44.366,24.78,3.858
4502.875,4501.093,57.713,-58.643,1.353,5.939,45.12,53.135,8.901,12.77,2.78,37.639,22.678,-9999,35.869,20.084,5.775
4503,4501.218,57.717,-58.645,0.72,4.923,58.595,53.686,8.885,12.196,2.787,43.088,27.359,-9999,30.582,16.982,8.151
4503.125,4501.343,57.721,-58.647,0.092,2.671,100,53.76,8.878,11.845,2.787,45.759,29.747,-9999,28.54,15.81,9.419
4503.25,4501.468,57.726,-58.648,0.087,2.628,100,53.859,8.88,11.791,2.783,44.715,29.323,-9999,27.864,15.687,9.191
4503.375,4501.593,57.73,-58.65,0.41,4.165,73.352,53.733,8.884,11.81,2.778,42.894,28.395,-9999,27.33,15.79,8.697
4503.5,4501.718,57.734,-58.652,0.326,3.89,79.278,53.654,8.889,11.714,2.773,44.772,30.57,-9999,26.451,15.614,9.865
4503.625,4501.843,57.739,-58.654,0.012,1.471,100,53.673,8.902,11.491,2.772,50.591,36.239,-9999,25.226,15.109,13.064
4503.75,4501.967,57.743,-58.656,0,0.1,100,53.803,8.919,11.238,2.776,57.749,42.945,-9999,24.099,14.568,17.156
4503.875,4502.092,57.747,-58.658,0,0.1,100,53.861,8.937,11.106,2.782,61.926,46.573,-9999,24.33,14.793,19.518
4504,4502.217,57.752,-58.66,0,0.1,100,53.874,8.951,11.128,2.785,61.149,45.28,-9999,27.049,16.55,18.663
4504.125,4502.342,57.756,-58.662,0,0.1,100,53.498,8.957,11.31,2.785,55.223,38.404,-9999,32.996,20.519,14.347
4504.25,4502.467,57.76,-58.664,0.016,1.581,100,52.714,8.956,11.37,2.782,47.705,31.451,-9999,40.698,25.879,10.347
4504.375,4502.592,57.765,-58.665,0.209,3.409,67.567,51.816,8.95,11.036,2.776,41.174,27.263,-9999,48.835,31.768,8.101
4504.5,4502.717,57.769,-58.667,0.208,3.403,62.926,51.753,8.946,10.281,2.77,36.531,24.744,-9999,55.709,37.089,6.807
