Depth,TVD,DX,DY,GR,CAL,AC,CNL,DEN,RT,RXO,SH,POR,SW,PERM
4850,4586.061,-481.374,195.912,99.68,8.846,45.562,1.558,2.779,4368.324,2406.559,-9999,-9999,-9999,-9999
4850.125,4586.119,-481.475,195.956,95.032,8.84,45.328,1.02,2.77,4932.367,2683.598,-9999,-9999,-9999,-9999
4850.25,4586.177,-481.577,196.001,93.795,8.829,45.197,0.859,2.765,5201.215,2807.952,-9999,-9999,-9999,-9999
4850.375,4586.236,-481.678,196.045,93.845,8.795,45.12,0.816,2.763,5951.692,3158.048,-9999,-9999,-9999,-9999
4850.5,4586.294,-481.779,196.09,96.093,8.755,45.408,0.95,2.77,6816.141,3559.088,-9999,-9999,-9999,-9999
4850.625,4586.353,-481.88,196.134,97.147,8.739,45.632,1.015,2.773,7220.801,3729.702,-9999,-9999,-9999,-9999
4850.75,4586.411,-481.981,196.179,97.93,8.726,46.164,1.136,2.773,8099.451,4054.736,-9999,-9999,-9999,-9999
4850.875,4586.47,-482.082,196.223,97.605,8.728,46.422,1.19,2.774,8621.566,4245.63,-9999,-9999,-9999,-9999
4851,4586.528,-482.184,196.267,95.25,8.735,46.778,1.257,2.779,9681.672,4662.833,-9999,-9999,-9999,-9999
4851.125,4586.587,-482.285,196.312,91.455,8.725,46.997,1.285,2.781,10683.815,5056.327,-9999,-9999,-9999,-9999
4851.25,4586.645,-482.386,196.356,89.897,8.707,47.065,1.289,2.781,11396.085,5298.296,-9999,-9999,-9999,-9999
4851.375,4586.704,-482.487,196.401,88.237,8.65,46.932,1.255,2.785,13641.967,5990.79,-9999,-9999,-9999,-9999
4851.5,4586.762,-482.588,196.445,88.341,8.605,46.518,1.185,2.797,16098.814,6707.829,-9999,-9999,-9999,-9999
4851.625,4586.82,-482.689,196.49,88.828,8.598,46.336,1.176,2.803,16866.176,6920.371,-9999,-9999,-9999,-9999
4851.75,4586.879,-482.79,196.534,90.293,8.608,46.114,1.245,2.81,17170.92,6974.15,-9999,-9999,-9999,-9999
4851.875,4586.938,-482.892,196.579,92.064,8.633,46.056,1.332,2.813,16697.197,6795.702,-9999,-9999,-9999,-9999
4852,4586.996,-482.993,196.623,92.701,8.648,46.089,1.345,2.815,16453.238,6708.048,-9999,-9999,-9999,-9999
4852.125,4587.054,-483.094,196.667,92.526,8.687,46.208,1.286,2.816,15870.076,6539.545,-9999,-9999,-9999,-9999
4852.25,4587.113,-483.195,196.712,89.945,8.712,46.281,1.153,2.803,15007.766,6376.382,-9999,-9999,-9999,-9999
4852.375,4587.171,-483.296,196.756,88.206,8.711,46.27,1.082,2.793,14647.569,6353.075,-9999,-9999,-9999,-9999
4852.5,4587.23,-483.397,196.801,86.978,8.69,46.233,0.98,2.774,14598.444,6559.344,-9999,-9999,-9999,-9999
4852.625,4587.288,-483.499,196.845,88.172,8.676,46.279,0.961,2.769,14954.543,6776.658,-9999,-9999,-9999,-9999
4852.75,4587.347,-483.6,196.89,91.983,8.646,46.435,0.957,2.765,15986.017,7243.567,-9999,-9999,-9999,-9999
4852.875,4587.405,-483.701,196.934,92.823,8.614,46.316,0.969,2.761,16312.319,7370.856,-9999,-9999,-9999,-9999
4853,4587.464,-483.802,196.979,91.887,8.599,46.225,0.997,2.757,15538.407,7057.195,-9999,-9999,-9999,-9999
4853.125,4587.522,-483.903,197.023,91.226,8.587,46.604,1.177,2.75,11452.121,5357.141,-9999,-9999,-9999,-9999
4853.25,4587.581,-484.004,197.067,97.087,8.603,47.843,1.613,2.753,5777.036,2882.361,-9999,-9999,-9999,-9999
4853.375,4587.639,-484.105,197.112,102.024,8.616,48.532,1.911,2.757,3491.71,1836.948,-9999,-9999,-9999,-9999
4853.5,4587.697,-484.207,197.156,111.544,8.638,49.756,2.497,2.767,1157.949,699.052,-9999,-9999,-9999,-9999
4853.625,4587.756,-484.308,197.201,116.758,8.648,50.556,2.839,2.772,731.963,454.493,-9999,-9999,-9999,-9999
4853.75,4587.814,-484.409,197.245,118.341,8.65,50.563,2.902,2.773,695.123,430.386,-9999,-9999,-9999,-9999
4853.875,4587.873,-484.51,197.29,122.311,8.658,49.773,2.889,2.772,691.133,427.283,-9999,-9999,-9999,-9999
4854,4587.931,-484.611,197.334,125.01,8.667,49.262,2.833,2.77,700.26,437.242,-9999,-9999,-9999,-9999
4854.125,4587.99,-484.712,197.378,130.04,8.69,48.499,2.675,2.762,736.939,476.146,-9999,-9999,-9999,-9999
4854.25,4588.048,-484.814,197.423,126.716,8.712,47.971,2.535,2.752,787.628,526.938,-9999,-9999,-9999,-9999
4854.375,4588.107,-484.915,197.467,121.051,8.723,47.762,2.473,2.747,810.606,547.936,-9999,-9999,-9999,-9999
4854.5,4588.165,-485.016,197.512,109.462,8.742,47.457,2.348,2.743,837.747,570.233,-9999,-9999,-9999,-9999
4854.625,4588.224,-485.117,197.556,107.404,8.753,47.129,2.243,2.75,841.559,571.989,-9999,-9999,-9999,-9999
4854.75,4588.282,-485.218,197.601,109.84,8.753,46.92,2.208,2.76,840.046,569.75,-9999,-9999,-9999,-9999
4854.875,4588.34,-485.319,197.645,114.562,8.751,46.568,2.196,2.788,838.111,563.672,-9999,-9999,-9999,-9999
4855,4588.399,-485.421,197.69,115.728,8.743,46.505,2.221,2.818,833.796,550.196,-9999,-9999,-9999,-9999
4855.125,4588.458,-485.522,197.734,116.278,8.736,46.597,2.219,2.831,826.088,538.147,-9999,-9999,-9999,-9999
4855.25,4588.516,-485.623,197.778,117.691,8.713,47.083,2.112,2.851,795.981,505.263,-9999,-9999,-9999,-9999
4855.375,4588.574,-485.724,197.823,119.87,8.686,47.927,1.878,2.848,760.777,473.45,-9999,-9999,-9999,-9999
