压力，MPa,偏差系数Z,,,,
,16.5℃,46.5℃,78.0℃,109.0℃,140.32℃
12,0.8057,0.8803,0.9376,0.9718,0.9966
14,0.7981,0.873,0.9331,0.9675,1.0021
16,0.7955,0.869,0.9333,0.9689,1.0082
18,0.7967,0.8723,0.9343,0.9728,1.0127
20,0.8044,0.8785,0.9388,0.976,1.0183
22,0.8189,0.8888,0.9464,0.9829,1.0239
24,0.8351,0.899,0.9551,0.9911,1.03
26,0.8553,0.9131,0.9638,1.0008,1.0357
28,0.8784,0.9285,0.9762,1.0114,1.043
30,0.9016,0.9459,0.9906,1.0233,1.051
32,0.9286,0.9654,1.0051,1.0363,1.0583
34,0.9543,0.9871,1.0225,1.0497,1.0684
36,0.9822,1.0097,1.0414,1.0661,1.0778
38,1.0114,1.032,1.0583,1.0814,1.0876
40,1.04,1.056,1.0788,1.098,1.0977
42,1.0696,1.0802,1.0987,1.1154,1.1105
44,1.0975,1.1049,1.12,1.1333,1.1231
46,1.1272,1.1295,1.1423,1.1516,1.1385
48,1.1567,1.1558,1.1622,1.1694,1.1532
50,1.1861,1.1813,1.183,1.1869,1.1683
52,1.2161,1.2064,1.2057,1.2055,1.1835
54,1.2454,1.2323,1.2284,1.2224,1.1981
56,1.274,1.2578,1.2502,1.2397,1.2126
58,1.3044,1.283,1.2734,1.2578,1.2304
*75.732,1.5639,1.5211,1.4727,1.4162,1.3699
（注：*表示地层压力，该点值是在实验点基础上所得的模拟值，而不是实测值。）,,,,,
