压力，MPa,压缩系数beta_T，（10e2/Mpa）,,,,
,16.5℃,46.5℃,78.0℃,109.0℃,140.32℃
14,8.8886,8.8212,8.6184,8.5946,8.0117
16,7.3344,7.4088,7.1287,7.0621,6.7949
18,6.1608,6.037,6.1935,6.0225,6.0041
20,5.0267,5.1623,5.2879,5.3713,5.2469
22,4.0281,4.3586,4.5578,4.6176,4.7024
24,3.483,3.9303,4.0499,4.0944,4.2211
26,2.8903,3.3294,3.6732,3.6417,3.8678
28,2.4314,2.9551,3.1641,3.2775,3.468
30,2.1902,2.5822,2.7927,2.9484,3.1652
32,1.7822,2.2596,2.5656,2.6654,2.9656
34,1.6937,1.9567,2.221,2.4497,2.6203
36,1.436,1.7553,1.9813,2.126,2.4814
38,1.2562,1.6385,1.9341,2.0315,2.3015
40,1.1855,1.4345,1.6297,1.8319,2.147
42,1.0462,1.3253,1.5484,1.6848,1.8962
44,1.0472,1.2064,1.3882,1.5527,1.7922
46,0.8954,1.1375,1.2494,1.4392,1.5674
48,0.8455,0.9829,1.2814,1.3815,1.508
50,0.7928,0.9618,1.1656,1.3178,1.4096
52,0.7148,0.9182,1.0221,1.1956,1.3346
54,0.7022,0.8297,0.9661,1.207,1.2865
56,0.6889,0.8009,0.9458,1.1268,1.2338
58,0.5807,0.7704,0.844,1.0407,1.035
*75.732,0.5022,0.5715,0.7273,0.9003,0.9744
（注：*表示地层压力，该点值是在实验点基础上所得的模拟值，而不是实测值。）,,,,,
