序号,井号,层位,取样日期,,取样部位,取样井段(m),"相对密度
",组份分析(%),,,,,,,,,,,,,,,,,压缩因子,热值(KJ/m3),"临界温度
(k)","临界压力
(MPa)",重烃(%)
,,,,,,,,甲烷,乙烷,丙烷,正丁烷,异丁烷,正戊烷,异戊烷,已烷,CO2,,H2S,,O2+Ar,氮,氦,氢,空气,,,,,
,,,,,,,,,,,,,,,,%,g/m3,%,g/m3,,,,,(mol%),,,,,
#REF!,SY9,MK组,2012-11-16 00:00:00,,分离器,"4549.0~4563.5
4581.5~4607.5",0.5789,96.32,0.13,0,0,0,0,0,0,2.42,,0.47,6.7,,0.65,0.01,0,,,35380,,,
#REF!,SY9,MK组,2013-06-27 00:00:00,,分离器,4549.0-4607.5,0.5853,95.48,0.53,0.02,0,0,0,0,0,2.07,38.124,0.55,7.94,0.14,1.2,0.018,0,0.62,0.998,35932,193.54,4.666,0.551
#REF!,SY9,MK组,2013-07-10 00:00:00,,分离器,4549.0-4607.5,0.5856,95.56,0.69,0.01,0,0,0,0,0,2.08,38.29,0.54,7.78,0.1,1.02,0.008,0,0.44,0.998,36052,193.89,4.6705,0.699
#REF!,SY9,MK组,2013-09-12 00:00:00,,分离器,4549.0-4607.5,0.5834,95.791,0.698,0.025,0,0,0,0,0,1.782,32.836,0.53,7.58,0.006,1.103,0.011,0,0.27,0.998,36156,193.59,4.6624,0.723
#REF!,SY9,MK组,2013-11-28 00:00:00,,分离器,4549.0-4607.5,0.5805,96.192,0.156,0.006,0,0,0,0,0,1.765,32.523,0.51,7.26,0.113,1.243,0.015,0,0.52,0.9981,35929,192.68,4.6553,0.162
#REF!,SY9,MK组,2013-12-21 00:00:00,,分离器,4549.0-4607.5,0.5778,96.622,0.162,0.008,0,0,0,0,0,1.642,30.256,0.5,7.15,0.058,0.904,0.045,0.059,0.26,0.9981,36099,192.72,4.6552,0.17
#REF!,SY9,MK组,2014-02-24 00:00:00,,分离器,4549.0-4607.5,0.5792,96.816,0.138,0,0,0,0,0,0,1.848,34.052,0.51,7.31,0.033,0.647,0.008,0,0.15,0.998,36144,193.29,4.6687,0.138
#REF!,SY9,MK组,2014-03-22 00:00:00,,分离器,4549.0-4607.5,0.5808,96.347,0.152,0.005,0,0,0,0,0,1.875,34.549,0.51,7.32,0.082,1.017,0.012,0,0.37,0.998,35984,193.01,4.6626,0.157
#REF!,SY9,MK组,2014-04-23 00:00:00,,分离器,4549.0-4607.5,0.5798,96.38,0.156,0.01,0,0,0,0,0,1.687,31.085,0.54,7.68,0.08,1.144,0.003,0,0.37,0.998,36010,192.8,4.6576,0.166
#REF!,SY9,MK组,2014-06-18 00:00:00,,分离器,4549.0-4607.5,0.5823,96.349,0.51,0.005,0,0,0,0,0,2.03,37.406,0.42,6.02,0.028,0.651,0.007,0,0.13,0.998,36197,193.78,4.671,0.515
#REF!,SY9,MK组,2014-11-16 00:00:00,,分离器,4549.0-4607.5,0.5839,95.93,0.23,0.01,0,0,0,0,0,2.17,39.985,0.54,7.72,0.08,0.99,0.056,0,0.37,0.998,35889,193.45,4.6713,0.238
#REF!,SY9,MK组,2014-12-16 00:00:00,,分离器,4549.0-4607.5,0.5744,97.381,0.089,0,0,0,0,0,0,1.393,25.668,0.53,7.61,0.022,0.573,0.012,0,0.1,0.998,36326,192.82,4.6581,0.089
#REF!,SY9,MK组,2015-04-25 00:00:00,,分离器,4549.0-4607.5,0.5836,96.35,0.153,0.004,0,0,0,0,0,2.283,42.067,0.47,6.8,0.023,0.71,0.007,0,0.11,0.998,35976,193.72,4.6788,0.157
#REF!,SY9,MK组,2016-09-02 00:00:00,,分离器,4549.00-4607.50,0.581,96.589,0.141,0,0,0,0,0,0,2,36.853,0.59,8.44,0.051,0.625,0.004,0,0.23,0.998,36081,193.6,4.676,0.141
#REF!,SY9,MK组,2016-09-03 00:00:00,,分离器,4549.00-4607.50,0.5799,96.657,0.148,0.006,0,0,0,0,0,1.898,34.973,0.55,7.89,0.074,0.66,0.007,0,0.34,0.998,36107,193.36,4.6699,0.154
#REF!,SY9,MK组,2016-09-04 00:00:00,,分离器,4549.00-4607.50,0.5788,96.911,0.139,0,0,0,0,0,0,1.85,34.089,0.53,7.56,0.045,0.52,0.005,0,0.21,0.998,36185,193.39,4.6707,0.139
#REF!,SY9,MK组,2016-10-22 00:00:00,,分离器,4549.00-4607.50,0.5807,96.159,0.13,0.046,0,0,0,0,0,1.809,33.333,0.51,7.34,0.149,1.181,0.016,0,0.68,0.998,35937,192.74,4.6554,0.176
#REF!,SY9,MK组,2016-11-10 00:00:00,,分离器,4549.00-4607.00,0.5811,96.169,0.146,0,0,0,0,0,0,1.855,34.181,0.61,8.8,0.132,1.071,0.017,0,0.6,0.998,35932,193.01,4.6634,0.146
#REF!,SY9,MK组,2017-03-24 00:00:00,,分离器,4549.00-4607.00,0.5819,96.311,0.136,0.002,0,0,0,0,0,1.979,36.466,0.593,8.51,0.058,0.908,0.013,0,0.26,0.998,35977,193.37,4.6715,0.138
