序号,井号,层位,取样日期,分析日期,取样条件,,,,,物理性质,,,,,阳离子(mg/L),,,,,,,,,阴离子(mg/L),,,,,,,,"总矿化度
(mg/L)",微量元素(mg/L),,,,Na+            —          Cl-,Na+-Cl          —         2SO42-,SO42-×102—                   Cl-,Cl--Na+   — 2Mg2+,Cl--Na+                         —             Mg2+,水型,相对密度,pH,,,,,,,,,,,,,,,
,,,Y-M-D,Y-M-D,地点,出水井段(m),油嘴mm,油压MPa,套压MPa,色,嗅,味,透明度,沉淀,K+,Na+,Ca2+,Mg2+,Ba2+,Li+,NH4+,Sr2+,总值,Cl-,SO42-,CO32-,HCO3-,OH-,F-,NO3-,总值,,H2S,I-,Br-,B,,,,,,,,,,,,,,,,,,,,,,,
1,SY9,MK组,2013-05-10 00:00:00,2013-05-15 00:00:00,,4549.0-4607.5,针 15/100,62.5,47,浅灰,H2S味,淡,透明,少量黑色,46,101,165,991,13,0,0,0,1316,7503,69,0,883,0,26,0,8481,9797,/,10,6,26,0.03,-143.15,,2.49,,CaCl2,1.0068,5.318,,,,,,,,,,,,,,,
2,SY9,MK组,2013-05-11 00:00:00,2013-05-15 00:00:00,,4549.0-4607.5,针 15/100,62.5,48,无,H2S味,淡,透明,少量黑色,11,25,41,180,3,1,0,0,261,1814,23,0,623,0,25,0,2485,2746,/,0,8,0,0.03,-103.78,,3.32,,CaCl2,0.9996,4.915,,,,,,,,,,,,,,,
3,SY9,MK组,2013-05-12 00:00:00,2013-05-24 00:00:00,分离器,4549.0-4607.5, 15/100,62.84,49.6,灰白,H2S味,无,透明,少量黑色,5,6,16,81,3,3,0,3,117,285,8,0,322,0,0,0,615,732,/,0,1,0,0.05,-48.49,,1.13,,CaCl2,0.998,4.943,,,,,,,,,,,,,,,
4,SY9,MK组,2013-05-13 00:00:00,2013-05-24 00:00:00,分离器,4549.0-4607.5,针 15/100,62.88,49.76,灰白,H2S味,无,透明,少量黑色,5,8,15,26,4,5,0,4,67,89,7,0,205,0,14,0,315,382,/,0,2,0,0.19,-14.67,,0.93,,CaCl2,0.998,5.016,,,,,,,,,,,,,,,
5,SY9,MK组,2013-05-14 00:00:00,2013-05-24 00:00:00,分离器,4549.0-4607.5, 17/100,62.88,49.76,灰白,H2S味,无,透明,少量黑色,4,7,15,10,2,1,0,2,41,29,7,0,212,0,12,0,260,301,/,0,1,0,0.52,-2.54,,0.46,,MgCl2,0.998,5.062,,,,,,,,,,,,,,,
6,SY9,MK组,2013-05-15 00:00:00,2013-05-24 00:00:00,分离器,4549.0-4607.5, 19/100,62.84,50.08,灰白,H2S味,无,透明,少量黑色,5,8,11,7,2,2,0,2,37,31,7,0,171,0,11,0,220,257,/,0,1,0,0.56,-2.69,,0.62,,MgCl2,0.9981,5.056,,,,,,,,,,,,,,,
7,SY9,MK组,2013-05-16 00:00:00,2013-05-24 00:00:00,分离器,4549.0-4607.5, 20/100,62.87,50.26,灰白,H2S味,无,透明,少量黑色,5,8,8,5,1,1,0,2,30,19,9,0,220,0,11,1,260,290,/,0,0,0,0.9,-0.28,,0.14,,MgCl2,0.9983,5.036,,,,,,,,,,,,,,,
8,SY9,MK组,2013-05-17 00:00:00,2013-05-24 00:00:00,分离器,4549.0-4607.5, 20/100,62.86,49.88,灰白,H2S味,无,透明,少量黑色,5,8,7,3,1,1,0,2,27,17,6,0,183,0,10,1,217,244,/,0,1,0,1.01,0.04,,-0.02,,Na2SO2,0.9983,5.048,,,,,,,,,,,,,,,
9,SY9,MK组,2013-05-19 00:00:00,2013-05-24 00:00:00,分离器,4549.0-4607.5,18/100,62.88,47.81,灰白,H2S味,无,透明,少量黑色,7,9,8,2,1,1,0,2,30,18,16,0,151,0,10,1,196,226,/,0,1,0,1.11,0.16,,-0.32,,Na2SO2,0.9984,5.057,,,,,,,,,,,,,,,
10,SY9,MK组,2013-05-20 00:00:00,2013-05-24 00:00:00,分离器,4549.0-4607.5,15/100,62.86,47.12,灰白,H2S味,无,透明,少量黑色,7,9,9,2,1,1,0,2,31,16,24,0,78,0,9,1,128,159,/,0,2,0,1.23,0.21,,-0.63,,Na2SO2,0.9984,5.057,,,,,,,,,,,,,,,
11,SY9,MK组,2013-05-21 00:00:00,2013-05-31 00:00:00,分离器,4549.0-4607.5,18/100,62.88,45.93,灰白,H2S味,无,不透明,绿色,6,10,8,2,1,2,0,2,31,22,4,0,477,0,9,0,512,543,/,0,3,0,0.93,-0.54,,0.24,,MgCl2,0.9985,5.215,,,,,,,,,,,,,,,
12,SY9,MK组,2013-05-22 00:00:00,2013-05-31 00:00:00,分离器,4549.0-4607.5,18/100,62.87,45.68,乳白,H2S味,无,不透明,无,7,9,6,1,1,1,0,2,27,11,11,0,620,0,8,0,650,677,/,0,3,0,1.91,1.23,,-3.88,,NaHCO3,0.9979,5.149,,,,,,,,,,,,,,,
13,SY9,MK组,2013-05-24 00:00:00,2013-05-31 00:00:00,分离器,4549.0-4607.5,18/100,62.89,44.92,黑,H2S味,无,不透明,少量黑色,7,9,8,1,1,1,0,2,29,12,22,0,525,0,8,10,577,606,/,0,8,0,1.66,0.5,,-3.1,,Na2SO2,0.998,5.076,,,,,,,,,,,,,,,
14,SY9,MK组,2013-06-07 00:00:00,2013-07-05 00:00:00,分离器,4549.0-4607.5,,,,灰白,H2S味,无,不透明,无,5,14,4,3,1,0,0,0,27,29,5,0,7,0,7,0,48,75,/,0,2,0,0.9,-0.83,,0.31,,MgCl2,0.9985,5.41,,,,,,,,,,,,,,,
15,SY9,MK组,2013-06-14 00:00:00,2013-07-05 00:00:00,分离器,4549.0-4607.5,,,,灰白,H2S味,无,不透明,无,6,15,1,2,0,0,0,0,24,19,4,0,25,0,7,0,55,79,/,0,2,0,1.45,2.99,,-1.81,,NaHCO3,0.9985,5.462,,,,,,,,,,,,,,,
16,SY9,MK组,2013-06-21 00:00:00,2013-07-05 00:00:00,分离器,4549.0-4607.5,,,,灰白,H2S味,无,不透明,无,4,15,14,0,0,0,0,0,33,8,2,0,27,0,6,0,43,76,/,0,2,0,3.2,11.38,,,,NaHCO3,0.9985,5.649,,,,,,,,,,,,,,,
17,SY9,MK组,2013-06-27 00:00:00,2013-07-05 00:00:00,分离器,4549.0-4607.5,10/100,62.66,44.54,灰白,H2S味,无,不透明,无,4,15,0,0,0,0,0,0,19,7,3,0,20,0,6,0,36,55,/,0,2,0,3.64,8.7,,-21.03,,NaHCO3,0.9985,5.594,,,,,,,,,,,,,,,
18,SY9,MK组,2013-06-29 00:00:00,2013-08-06 00:00:00,分离器,4549.0-4607.5,针 13/100,62.66,44.57,灰白,H2S味,无,不透明,无,12,13,3,0,0,0,0,0,28,23,6,0,100,0,7,0,136,164,/,0,1,0,1.36,1.94,,,,NaHCO3,0.9985,5.99,,,,,,,,,,,,,,,
19,SY9,MK组,2013-07-12 00:00:00,2013-08-06 00:00:00,分离器,4549.0-4607.5,针 13/100,62.45,63.05,灰白,H2S味,无,不透明,无,10,11,1,0,0,0,0,0,22,8,7,0,28,0,6,1,50,72,/,0,2,0,3.4,3.59,,,,NaHCO3,0.9986,6.053,,,,,,,,,,,,,,,
20,SY9,MK组,2013-07-19 00:00:00,2013-08-06 00:00:00,分离器,4549.0-4607.5,针 7/100,62.88,46.81,灰白,H2S味,无,不透明,无,10,11,2,0,0,0,0,0,23,9,4,0,16,0,7,0,36,59,/,0,1,0,2.78,5.52,,,,NaHCO3,0.9986,6.104,,,,,,,,,,,,,,,
21,SY9,MK组,2013-07-26 00:00:00,2013-08-15 00:00:00,分离器,4549.0-4607.5,针 2/100,62.525,45.915,灰白,H2S味,无,不透明,无,12,13,2,0,0,0,0,0,27,15,5,0,139,0,6,0,165,192,/,0,0,0,2.07,4.28,,,,NaHCO3,0.9986,5.998,,,,,,,,,,,,,,,
22,SY9,MK组,2013-08-02 00:00:00,2013-08-22 00:00:00,分离器,4549.0-4607.5,针 20/100,62.568,50.297,灰白,H2S味,无,不透明,无,11,16,0,0,0,0,,0,27,26,7,0,127,0,5,0,165,192,/,0,2,0,1.33,1.68,,,,NaHCO3,0.9986,5.736,,,,,,,,,,,,,,,
23,SY9,MK组,2013-08-08 00:00:00,2013-08-15 00:00:00,分离器,4549.0-4607.5,针 19/100,62.526,46.61,灰白,H2S味,无,不透明,无,10,10,4,0,0,0,0,0,24,12,3,0,115,0,5,0,135,159,/,0,0,0,1.98,5.23,,,,NaHCO3,0.9986,5.782,,,,,,,,,,,,,,,
24,SY9,MK组,2013-08-23 00:00:00,2013-09-22 00:00:00,分离器,4549.0-4607.5,针 13/100,62.597,50.326,灰白,H2S味,无,不透明,无,3,15,5,8,0,0,,0,31,5,6,0,169,0,6,0,186,217,/,0,0,0,5.78,4.82,,-0.89,,NaHCO3,0.9987,5.787,,,,,,,,,,,,,,,
25,SY9,MK组,2013-08-30 00:00:00,2013-09-22 00:00:00,分离器,4549.0-4607.5,针 23/100,62.471,52.059,灰白,H2S味,无,不透明,无,3,15,9,8,0,0,,0,35,4,7,0,107,0,5,0,123,158,/,0,0,0,6.6,4.63,,-0.97,,NaHCO3,0.9987,5.904,,,,,,,,,,,,,,,
26,SY9,MK组,2013-09-06 00:00:00,2013-09-22 00:00:00,分离器,4549.0-4607.5,针 1/100,62.59,45.549,灰白,H2S味,无,不透明,无,3,15,4,9,0,0,,0,31,2,8,0,76,0,5,0,91,122,/,0,0,0,14.04,4.16,,-0.95,,NaHCO3,0.9986,5.738,,,,,,,,,,,,,,,
27,SY9,MK组,2013-09-11 00:00:00,2013-09-29 00:00:00,分离器,4549.0-4607.5,针 15/100,62.7,45,浅黄,H2S味,淡,不透明,微量黑色,10,16,14,1,0,1,,0,42,15,17,0,127,0,5,0,164,206,/,0,0,0,2.21,1.47,,-4.1,,NaHCO3,0.9987,6.552,,,,,,,,,,,,,,,
28,SY9,MK组,2013-09-13 00:00:00,2013-09-29 00:00:00,分离器,4549.0-4607.5,针 1/100,62.378,49.993,灰白,H2S味,淡,不透明,无,7,16,3,1,0,1,,0,28,15,6,0,85,0,4,0,110,138,/,0,0,0,2.03,3.23,,-6.21,,NaHCO3,0.9986,5.787,,,,,,,,,,,,,,,
29,SY9,MK组,2013-09-19 00:00:00,2013-09-29 00:00:00,分离器,4549.0-4607.5,针 1/100,62.573,46.536,灰白,H2S味,淡,不透明,无,4,15,3,1,0,1,,0,24,12,13,0,100,0,5,0,130,154,/,0,0,0,2.2,1.56,,-5.22,,NaHCO3,0.9986,5.956,,,,,,,,,,,,,,,
30,SY9,MK组,2013-09-27 00:00:00,2013-10-14 00:00:00,分离器,4549.0-4607.5,针 1/100,62.531,47.656,灰白,H2S味,无,不透明,无,1,16,3,1,0,0,,0,21,3,7,0,39,0,4,0,53,74,/,0,0,0,8.98,4.64,,-10.77,,NaHCO3,0.9987,5.859,,,,,,,,,,,,,,,
31,SY9,MK组,2013-10-08 00:00:00,2013-11-02 00:00:00,分离器,4549.0-4607.5,针 1/100,62.463,48.235,灰白,H2S味,淡,不透明,无,7,17,4,0,0,0,0,0,28,5,8,0,134,0,1,0,148,176,/,0,0,0,6,4.78,,,,NaHCO3,0.9987,5.773,,,,,,,,,,,,,,,
32,SY9,MK组,2013-10-09 00:00:00,2013-10-14 00:00:00,分离器,4549.0-4607.5,针 1/100,62.468,48.182,灰白,H2S味,无,不透明,无,6,18,16,1,0,0,,0,41,6,4,0,83,0,4,0,97,138,/,0,0,0,5.23,9.5,,-8,,NaHCO3,0.9987,6.894,,,,,,,,,,,,,,,
33,SY9,MK组,2013-10-16 00:00:00,2013-11-02 00:00:00,分离器,4549.0-4607.5,针 1/100,62.3,48.5,灰白,H2S味,淡,不透明,无,5,14,3,0,0,0,0,0,22,10,15,0,134,0,4,0,163,185,/,0,0,0,2.67,1.54,,,,NaHCO3,0.9986,5.786,,,,,,,,,,,,,,,
34,SY9,MK组,2013-10-25 00:00:00,2013-11-14 00:00:00,分离器,4549.0-4607.5,针 22/100,62.4,47.854,灰白,无,无,不透明,无,8,18,3,1,0,0,0,0,30,13,7,0,381,0,5,0,406,436,/,0,1,0,2.62,3.92,,-7.36,,NaHCO3,0.9987,6.791,,,,,,,,,,,,,,,
35,SY9,MK组,2013-10-29 00:00:00,2013-11-02 00:00:00,分离器,4549.0-4607.5,针 20/100,62.403,47.741,灰白,H2S味,淡,不透明,无,5,18,4,0,0,0,0,0,27,4,6,0,198,0,4,0,212,239,/,0,0,0,7.4,6.66,,,,NaHCO3,0.9987,6.294,,,,,,,,,,,,,,,
36,SY9,MK组,2013-10-31 00:00:00,2013-11-14 00:00:00,分离器,4549.0-4607.5,针 20/100,62.381,47.932,灰白,无,无,不透明,无,9,18,5,4,0,0,0,0,36,15,17,0,190,0,5,0,227,263,/,0,1,0,2.4,1.71,,-2.01,,NaHCO3,0.9987,6.804,,,,,,,,,,,,,,,
37,SY9,MK组,2013-11-15 00:00:00,2013-11-21 00:00:00,分离器,4549.0-4607.5,针 20/100,47.487,62.338,灰白,无,无,不透明,无,10,16,5,2,0,1,0,0,34,12,6,0,215,0,0,0,233,267,/,13,0,23,3,5.5,,-3.54,,CaCl2,0.9988,6.152,,,,,,,,,,,,,,,
38,SY9,MK组,2013-11-22 00:00:00,2013-12-06 00:00:00,分离器,4549.0-4607.5,针 0.5/100,62.367,44.499,乳白,H2S味,无,不透明,无,1,15,2,1,0,0,0,0,19,9,5,0,429,0,3,0,446,465,/,0,1,0,2.67,4.07,,-5.09,,NaHCO3,0.9988,6.459,,,,,,,,,,,,,,,
39,SY9,MK组,2013-11-28 00:00:00,2013-12-06 00:00:00,分离器,4549.0-4607.5,针 0.5/100,62.388,45.427,乳白,H2S味,无,不透明,无,7,17,42,2,0,0,0,0,68,8,4,0,459,0,4,0,475,543,/,0,0,0,4.08,8.32,,-4.16,,NaHCO3,0.999,8.137,,,,,,,,,,,,,,,
40,SY9,MK组,2013-12-04 00:00:00,2013-12-17 00:00:00,分离器,4549.0-4607.5,针 0.1/100,62.049,42.618,灰白,H2S味,无,不透明,无,1,17,4,0,0,0,0,0,22,17,6,0,117,0,4,0,144,166,/,0,0,0,1.54,2.11,,,,NaHCO3,0.9989,5.959,,,,,,,,,,,,,,,
41,SY9,MK组,2013-12-12 00:00:00,2012-12-20 00:00:00,分离器,4549.0-4607.5,针 0.1/100,60.425,41.172,灰白,H2S味,无,不透明,无,8,12,5,1,0,0,0,0,26,4,9,0,113,0,0,0,126,152,/,0,0,0,6.11,3.39,,-7.49,,NaHCO3,0.9989,6.072,,,,,,,,,,,,,,,
42,SY9,MK组,2013-12-12 00:00:00,2014-01-10 00:00:00,分离器,4549.0-4607.5,针 12/100,62.5,47.5,乳白,H2S味,无,不透明,无,7,7,6,5,0,0,0,0,25,49,7,0,131,0,0,0,187,212,/,0,0,0,0.34,-6.39,,2.19,,CaCl2,0.9989,6.188,,,,,,,,,,,,,,,
43,SY9,MK组,2013-12-13 00:00:00,2012-12-20 00:00:00,分离器,4549.0-4607.5,针 0.1/100,60.878,41.241,灰白,H2S味,无,不透明,无,7,11,5,4,0,0,0,0,27,23,5,0,226,0,0,0,254,281,/,0,0,0,0.99,-0.03,,0.01,,MgCl2,0.9987,5.845,,,,,,,,,,,,,,,
44,SY9,MK组,2013-12-21 00:00:00,2013-12-27 00:00:00,分离器,4549.0-4607.5,针 0.1/100,61.141,41.781,乳白,H2S味,无,不透明,无,4,15,7,8,2,0,0,0,36,33,8,0,205,0,4,0,250,286,/,0,1,0,0.81,-1.07,,0.28,,MgCl2,0.999,6.431,,,,,,,,,,,,,,,
45,SY9,MK组,2014-01-07 00:00:00,2014-01-17 00:00:00,分离器,4549.0-4607.5,针 12/100,63,46.5,灰白,H2S味,无,不透明,无,9,16,7,3,0,0,0,0,35,6,12,0,131,0,4,0,153,188,/,0,0,0,5,2.96,,-2.79,,NaHCO3,0.9989,6.997,,,,,,,,,,,,,,,
