井号：SY13井,,,层位：MK
取样深度：4100.7m,,,饱和水矿化度：地层水
孔隙度：2.16%,,,绝对渗透率：3.20*10-3μm2
,,,
气水相对渗透率数据表,,,
序号,含水饱和度Sw，%,气相相对渗透率Krg，%,水相相对渗透率Krw，%
1,26,0.675,0
2,29.4,0.655,0.008
3,32.8,0.628,0.01
4,36.2,0.587,0.013
5,39.6,0.547,0.014
6,43,0.522,0.018
7,46.4,0.485,0.023
8,49.7,0.445,0.028
9,53.1,0.4,0.034
10,56.5,0.359,0.039
11,59.9,0.315,0.046
12,63.3,0.273,0.053
13,66.7,0.238,0.072
14,70.1,0.204,0.086
15,73.5,0.169,0.105
16,76.9,0.134,0.131
17,80.3,0.102,0.165
18,83.7,0.068,0.215
19,87.1,0.043,0.28
20,90.4,0.022,0.369
21,93.8,0.009,0.48
