x,y
18543664.93673838,3357145.2683450375
18552281.1497128,3350559.7380784224
18552362.82116057,3350490.0621832465
18555122.379902866,3347867.1932145827
18555190.448482186,3347795.782421185
18555251.14934723,3347718.012003371
18555303.891706627,3347634.6388876215
18555348.1622278,3347546.4745305413
18555383.530033167,3347454.377021086
18555409.650893785,3347359.242728926
18555426.27057969,3347261.9975802302
18555433.227334242,3347163.588045782
18555430.453448527,3347064.9719291357
18555417.975920305,3346967.1090444773
18555395.91619127,3346870.95187491
18555364.48896508,3346777.4363020975
18555324.00011768,3346687.4724974846
18555274.84372025,3346601.936063749
18555217.4982038,3346521.6595127066
18555152.521702655,3346447.424162616
18555080.546622243,3346379.9525337345
18555002.27348399,3346319.901316152
18554918.464107286,3346267.8549783346
18554829.934194777,3346224.3200785923
18554737.545393314,3346189.720334829
18554642.19690766,3346164.39250057
18554544.8167487,3346148.583087393
18554446.352701247,3346142.445965676
18554347.763099417,3346146.0408669985
18539775.500478417,3347399.340783754
18539675.39981753,3347413.073231687
18539577.195837,3347436.8366624936
18539481.891073998,3347470.388481905
18539390.458468407,3347513.3861687095
18539303.831430312,3347565.3907714565
18539222.8943111,3347625.8713895916
18539148.47337536,3347694.2105932715
18539081.328365766,3347769.7107265345
18539022.144747082,3347851.6010294757
18538971.52670845,3347939.0455067223
18538929.99099537,3348031.1514618774
18537786.474798776,3350952.436476726
18537755.114450634,3351045.876660383
18537733.10492316,3351141.950174203
18537720.660028774,3351239.723708256
18537717.900663894,3351338.2474376964
18537724.85363448,3351436.564249878
18537741.451395623,3351533.719042258
18537767.53270772,3351628.768000783
18537802.84420284,3351720.7877686042
18537847.042846072,3351808.8844160656
18537899.699267954,3351892.202124818
18537960.30193561,3351969.9315017015
18542300.309036486,3357003.745805376
18542369.85707142,3357076.6396544403
18542446.386822492,3357142.1655241004
18542529.121478878,3357199.6582977916
18542617.221247215,3357248.5343984263
18542709.791875876,3357288.29771196
18542805.89373203,3357318.5446231696
18542904.55133932,3357338.9681125255
18543004.763279393,3357349.3608725755
18543105.512356717,3357349.617412207
18543205.775923587,3357339.73512743
18543304.536260445,3357319.814327806
18543400.790906183,3357290.057218264
18543493.56283356,3357250.765846631
18543581.91036647,3357202.339037711
18543664.93673838,3357145.2683450375
