2026-02-09 23:49:25 - M5Trainer - INFO -   井 SY9: 1025 条同化数据
2026-02-09 23:49:25 - M5Trainer - INFO -   M3 PVT cg(76.0, 141.39) = 0.009744
2026-02-09 23:49:25 - M5Trainer - INFO -   M3 PVT Bg(76.0, 141.39) = 0.002577
2026-02-09 23:49:25 - M5Trainer - INFO -   PDE 缩放: αx=1.017765, αy=2.546600
2026-02-09 23:49:25 - M5Trainer - INFO - M5Trainer 初始化完成: device=cuda, lr=0.001, max_steps=8000, relobralo=True, rar=True
2026-02-09 23:49:25 - M5Trainer - INFO - ============================================================
2026-02-09 23:49:25 - M5Trainer - INFO - M5 PINN 井—藏耦合同化训练开始
2026-02-09 23:49:25 - M5Trainer - INFO - ============================================================
2026-02-09 23:49:25 - M5Trainer - INFO - 训练阶段: A[0-1600] B[1600-4000] C[4000-6400] D[6400-8000]
2026-02-09 23:49:25 - M5Trainer - INFO - [Step     0/8000] Stage A | L=2.3776e+02 (IC=1.834e+01, BC=1.087e+01, PDE=0.000e+00, Qg=2.601e+10) | k=5.00 mD, f=10.0 | Sw=[0.076,0.708] | 0.5s
2026-02-09 23:49:27 - M5Trainer - INFO - [Step   100/8000] Stage A | L=4.8889e-01 (IC=3.265e-02, BC=3.248e-02, PDE=0.000e+00, Qg=4.022e+10) | k=5.00 mD, f=10.0 | Sw=[0.034,0.339] | 2.1s
2026-02-09 23:49:28 - M5Trainer - INFO - [Step   200/8000] Stage A | L=9.0944e-05 (IC=1.267e-02, BC=1.130e-02, PDE=0.000e+00, Qg=3.955e+10) | k=5.00 mD, f=10.0 | Sw=[0.029,0.302] | 3.6s
2026-02-09 23:49:30 - M5Trainer - INFO - [Step   300/8000] Stage A | L=3.8697e-06 (IC=3.316e-03, BC=4.103e-04, PDE=0.000e+00, Qg=3.935e+10) | k=5.00 mD, f=10.0 | Sw=[0.023,0.282] | 5.2s
2026-02-09 23:49:31 - M5Trainer - INFO - [Step   400/8000] Stage A | L=1.1961e-04 (IC=6.940e-03, BC=1.700e-02, PDE=0.000e+00, Qg=4.063e+10) | k=5.00 mD, f=10.0 | Sw=[0.023,0.298] | 6.5s
2026-02-09 23:49:33 - M5Trainer - INFO - [Step   500/8000] Stage A | L=6.2824e-04 (IC=3.372e-02, BC=1.068e-02, PDE=0.000e+00, Qg=3.503e+10) | k=5.00 mD, f=10.0 | Sw=[0.040,0.316] | 7.9s
2026-02-09 23:49:34 - M5Trainer - INFO - [Step   600/8000] Stage A | L=8.1375e-06 (IC=2.651e-03, BC=2.741e-03, PDE=0.000e+00, Qg=3.499e+10) | k=5.00 mD, f=10.0 | Sw=[0.030,0.324] | 9.2s
2026-02-09 23:49:35 - M5Trainer - INFO - [Step   700/8000] Stage A | L=7.9181e-06 (IC=2.277e-03, BC=2.624e-03, PDE=0.000e+00, Qg=3.502e+10) | k=5.00 mD, f=10.0 | Sw=[0.026,0.305] | 10.5s
2026-02-09 23:49:37 - M5Trainer - INFO - [Step   800/8000] Stage A | L=9.6615e-06 (IC=1.940e-03, BC=3.022e-03, PDE=0.000e+00, Qg=3.515e+10) | k=5.00 mD, f=10.0 | Sw=[0.041,0.317] | 11.7s
2026-02-09 23:49:38 - M5Trainer - INFO - [Step   900/8000] Stage A | L=5.9111e-06 (IC=2.258e-03, BC=1.064e-03, PDE=0.000e+00, Qg=3.516e+10) | k=5.00 mD, f=10.0 | Sw=[0.030,0.310] | 13.0s
2026-02-09 23:49:39 - M5Trainer - INFO - [Step  1000/8000] Stage A | L=5.9892e-06 (IC=2.121e-03, BC=9.936e-04, PDE=0.000e+00, Qg=3.524e+10) | k=5.00 mD, f=10.0 | Sw=[0.036,0.299] | 14.3s
