2026-02-10 18:31:23 - M5Trainer - INFO -   torch.compile 已跳过 (Triton 不支持 Windows, 使用 eager 模式)
2026-02-10 18:31:24 - M5Trainer - INFO -   井 SY9: 1025 条同化数据
2026-02-10 18:31:24 - M5Trainer - INFO -   M3 PVT cg(76.0, 141.39) = 0.009744
2026-02-10 18:31:24 - M5Trainer - INFO -   M3 PVT Bg(76.0, 141.39) = 0.002577
2026-02-10 18:31:24 - M5Trainer - INFO -   PDE 缩放: αx=1.017765, αy=2.546600
2026-02-10 18:31:24 - M5Trainer - INFO - M5Trainer 初始化完成: device=cuda, lr=0.001, max_steps=50000, relobralo=True, rar=True
2026-02-10 18:31:24 - M5Trainer - INFO - ============================================================
2026-02-10 18:31:24 - M5Trainer - INFO - M5 PINN 井—藏耦合同化训练开始
2026-02-10 18:31:24 - M5Trainer - INFO - ============================================================
2026-02-10 18:31:24 - M5Trainer - INFO - 训练阶段: A[0-5000] B[5000-17500] C[17500-35000] D[35000-50000]
2026-02-10 18:31:25 - M5Trainer - INFO - [Step     0/50000] Stage A | L=1.6424e+08 (IC=1.000e+00, BC=1.000e+00, PDE=1.642e+10, Qg=5.427e+04) | k=5.00 mD, f=10.0 | Sw=[0.260,0.260] | 0.6s
2026-02-10 18:31:37 - M5Trainer - INFO - [Step   100/50000] Stage A | L=5.2631e+05 (IC=6.302e-01, BC=1.305e-01, PDE=5.263e+07, Qg=1.336e+02) | k=5.00 mD, f=10.0 | Sw=[0.145,0.473] | 13.2s
2026-02-10 18:31:49 - M5Trainer - INFO - [Step   200/50000] Stage A | L=2.0358e-02 (IC=3.260e-02, BC=6.414e-03, PDE=9.426e+04, Qg=6.860e+00) | k=5.00 mD, f=10.0 | Sw=[0.038,0.919] | 25.5s
2026-02-10 18:32:01 - M5Trainer - INFO - [Step   300/50000] Stage A | L=1.6402e-02 (IC=4.062e-03, BC=1.001e-03, PDE=9.296e+04, Qg=6.776e+00) | k=5.00 mD, f=10.0 | Sw=[0.036,0.910] | 37.4s
2026-02-10 18:32:15 - M5Trainer - INFO - [Step   400/50000] Stage A | L=1.4892e-02 (IC=2.732e-03, BC=5.549e-04, PDE=8.338e+04, Qg=6.714e+00) | k=5.00 mD, f=10.0 | Sw=[0.039,0.914] | 50.7s
2026-02-10 18:32:29 - M5Trainer - INFO - [Step   500/50000] Stage A | L=5.2575e-03 (IC=1.837e-03, BC=4.705e-04, PDE=4.599e+04, Qg=6.579e+00) | k=5.00 mD, f=10.0 | Sw=[0.033,0.919] | 64.7s
2026-02-10 18:32:43 - M5Trainer - INFO - [Step   600/50000] Stage A | L=8.3898e-03 (IC=1.589e-03, BC=3.848e-04, PDE=5.649e+04, Qg=6.481e+00) | k=5.00 mD, f=10.0 | Sw=[0.037,0.912] | 78.8s
2026-02-10 18:32:57 - M5Trainer - INFO - [Step   700/50000] Stage A | L=1.8345e-02 (IC=7.228e-04, BC=2.904e-04, PDE=8.087e+04, Qg=6.212e+00) | k=5.00 mD, f=10.0 | Sw=[0.047,0.906] | 92.7s
2026-02-10 18:33:10 - M5Trainer - INFO - [Step   800/50000] Stage A | L=9.6903e-02 (IC=1.016e-03, BC=2.478e-04, PDE=1.805e+05, Qg=5.293e+00) | k=5.00 mD, f=10.0 | Sw=[0.046,0.901] | 106.5s
2026-02-10 18:33:24 - M5Trainer - INFO - [Step   900/50000] Stage A | L=1.5391e-01 (IC=1.353e-03, BC=2.524e-04, PDE=2.176e+05, Qg=4.216e+00) | k=5.00 mD, f=10.0 | Sw=[0.048,0.851] | 120.4s
2026-02-10 18:33:38 - M5Trainer - INFO - [Step  1000/50000] Stage A | L=9.5666e-01 (IC=4.299e-02, BC=6.937e-02, PDE=4.744e+05, Qg=6.783e+00) | k=5.00 mD, f=10.0 | Sw=[0.055,0.873] | 134.2s
2026-02-10 18:33:52 - M5Trainer - INFO - [Step  1100/50000] Stage A | L=8.6700e-02 (IC=9.880e-04, BC=1.590e-04, PDE=1.511e+05, Qg=4.106e+00) | k=5.00 mD, f=10.0 | Sw=[0.141,0.884] | 148.4s
2026-02-10 18:34:05 - M5Trainer - INFO - [Step  1200/50000] Stage A | L=1.8576e-02 (IC=1.499e-03, BC=8.094e-05, PDE=6.432e+04, Qg=7.340e+00) | k=5.00 mD, f=10.0 | Sw=[0.146,0.908] | 160.8s
2026-02-10 18:34:17 - M5Trainer - INFO - [Step  1300/50000] Stage A | L=7.3588e-01 (IC=7.909e-04, BC=4.325e-05, PDE=3.889e+05, Qg=6.358e+00) | k=5.00 mD, f=10.0 | Sw=[0.137,0.859] | 173.1s
2026-02-10 18:34:29 - M5Trainer - INFO - [Step  1400/50000] Stage A | L=1.1084e+01 (IC=2.086e-01, BC=1.528e-01, PDE=1.170e+06, Qg=1.456e+01) | k=5.00 mD, f=10.0 | Sw=[0.019,0.900] | 185.2s
2026-02-10 18:34:41 - M5Trainer - INFO - [Step  1500/50000] Stage A | L=3.6513e-02 (IC=1.490e-03, BC=7.476e-04, PDE=6.677e+04, Qg=7.064e+00) | k=5.00 mD, f=10.0 | Sw=[0.057,0.944] | 197.5s
2026-02-10 18:34:56 - M5Trainer - INFO - [Step  1600/50000] Stage A | L=4.1797e-03 (IC=3.941e-04, BC=8.685e-05, PDE=1.801e+04, Qg=8.823e+00) | k=5.00 mD, f=10.0 | Sw=[0.192,0.930] | 212.1s
2026-02-10 18:35:10 - M5Trainer - INFO - [Step  1700/50000] Stage A | L=1.4828e-03 (IC=1.880e-04, BC=3.218e-05, PDE=1.257e+02, Qg=7.329e+00) | k=5.00 mD, f=10.0 | Sw=[0.198,0.912] | 226.5s
2026-02-10 18:35:24 - M5Trainer - INFO - [Step  1800/50000] Stage A | L=2.8760e-03 (IC=1.913e-04, BC=3.238e-05, PDE=1.197e+04, Qg=6.833e+00) | k=5.00 mD, f=10.0 | Sw=[0.159,0.929] | 240.6s
